customer_id,location,spending_frequency,spending_amount
C00000,EU,3,12.324368912479123
C00001,Asia,4,15.224235663360353
C00002,Asia,3,10.66130690163763
C00003,Asia,6,14.859360436275512
C00004,Asia,2,20.431557377065854
C00005,US,6,13.071933577226456
C00006,EU,5,6.74475960288431
C00007,Asia,4,20.67817377708282
C00008,Asia,5,42.53774043522535
C00009,US,1,9.28914790559335
C00010,EU,4,7.501777536241847
C00011,Asia,10,29.189994537168943
C00012,US,4,18.618147251928402
C00013,Asia,5,11.63560653063841
C00014,US,4,21.809013682220613
C00015,US,5,33.89434173706621
C00016,EU,5,15.404549263186036
C00017,Asia,1,28.227673395799922
C00018,EU,4,15.367293872607165
C00019,Asia,6,10.99212176932499
C00020,Asia,5,20.385297507507534
C00021,US,4,10.185318628324517
C00022,Asia,2,14.450997809938308
C00023,EU,3,7.183511701943297
C00024,US,12,11.46796832830426
C00025,Asia,12,38.20381417923683
C00026,EU,7,19.905110813162967
C00027,US,6,9.77795162434995
C00028,Asia,3,11.160053143418871
C00029,Asia,3,14.854927959718076
C00030,EU,3,19.493301520624996
C00031,US,3,22.90984920148922
C00032,US,6,14.058707396396846
C00033,EU,7,17.10180772582428
C00034,US,4,12.533479756064196
C00035,US,3,18.04970045105953
C00036,Asia,3,15.05980251767016
C00037,EU,2,14.213559658203792
C00038,Asia,4,21.8924556688142
C00039,US,8,50.82944054665687
C00040,US,2,10.909163807759592
C00041,Asia,4,23.89186276086109
C00042,Asia,8,20.86947007435256
C00043,US,7,32.09715749203069
C00044,Asia,4,42.55386471087358
C00045,EU,8,32.409257561803834
C00046,US,6,8.996714698055566
C00047,US,5,13.007379357366345
C00048,US,0,33.292137819228834
C00049,Asia,7,23.42161278527757
C00050,US,5,23.16303349810804
C00051,US,5,11.14099421791436
C00052,EU,5,25.48606821326796
C00053,Asia,2,14.134394745920414
C00054,Asia,4,11.256029032628494
C00055,EU,1,25.90546720570255
C00056,US,4,15.707414283494353
C00057,US,6,7.152270742981101
C00058,EU,5,24.226316962374945
C00059,EU,7,13.159283915262812
C00060,Asia,7,15.716323698107072
C00061,EU,1,22.65541235318196
C00062,EU,4,19.31522776814907
C00063,US,7,22.746528518624196
C00064,US,7,26.339894622501273
C00065,Asia,6,12.755567346187703
C00066,EU,5,26.197675762655923
C00067,Asia,9,16.59738919986567
C00068,US,7,15.474365890956863
C00069,US,5,55.69488945419742
C00070,EU,6,9.06705592321741
C00071,Asia,10,15.65829221174518
C00072,Asia,4,14.565134210900869
C00073,EU,5,46.33702045926569
C00074,EU,5,26.72848950153899
C00075,EU,8,9.110798505193033
C00076,EU,3,49.134033730730486
C00077,Asia,7,23.020039890920483
C00078,US,2,19.82146847418886
C00079,US,1,13.699913213985834
C00080,Asia,5,25.012841274223874
C00081,Asia,4,46.78137796887148
C00082,Asia,3,18.792841447120352
C00083,EU,9,7.34985216636023
C00084,Asia,5,23.778210754883947
C00085,EU,5,8.945564835089431
C00086,Asia,5,8.456638744383216
C00087,US,5,15.473989201204907
C00088,EU,1,21.168817195764937
C00089,EU,3,11.098484989341054
C00090,EU,7,8.46140501815667
C00091,US,5,26.871784588776784
C00092,Asia,2,7.446198273253811
C00093,EU,4,34.3475871467911
C00094,EU,3,21.202532449212935
C00095,EU,9,14.208349759758597
C00096,Asia,6,24.15005854126317
C00097,US,3,7.6224333313989705
C00098,Asia,3,11.75372845521989
C00099,US,5,17.37403243095997
C00100,EU,4,19.287340566860703
C00101,EU,6,13.710632944886017
C00102,US,7,14.369202591606015
C00103,US,3,17.702363628698787
C00104,Asia,2,23.998361634851477
C00105,EU,5,48.476584181992784
C00106,US,2,28.70447965399675
C00107,EU,4,27.27972516812017
C00108,EU,6,13.392072619683622
C00109,US,5,15.73025930126336
C00110,US,8,12.453906909270634
C00111,Asia,3,38.61387600080991
C00112,US,5,6.78333009904197
C00113,Asia,2,28.178318646399124
C00114,EU,6,31.958163876079013
C00115,EU,6,11.881429011577163
C00116,US,6,15.537906138032087
C00117,US,7,33.04677929824863
C00118,EU,6,63.30655003805072
C00119,Asia,1,20.651818664446598
C00120,US,3,22.660038912388575
C00121,US,4,14.536224729718107
C00122,EU,2,37.05354121302395
C00123,Asia,3,9.437830552488897
C00124,US,5,14.663073628272414
C00125,EU,3,27.077597464737
C00126,EU,5,20.282507325763522
C00127,EU,4,20.217254201655557
C00128,Asia,4,13.04376810357065
C00129,Asia,8,67.39279778316227
C00130,EU,5,8.001158272633399
C00131,EU,4,8.797563453751467
C00132,Asia,4,14.974500746944807
C00133,US,5,11.349000110835151
C00134,US,5,15.13917295360629
C00135,US,2,37.83813946300003
C00136,Asia,6,43.08729846755421
C00137,EU,9,24.49059096165902
C00138,Asia,6,15.287607049526684
C00139,US,7,16.546077825958054
C00140,US,3,12.390061382294968
C00141,Asia,7,20.51187531688755
C00142,EU,5,6.71572404916222
C00143,Asia,3,18.79415407966595
C00144,US,3,29.928913207292904
C00145,Asia,4,21.271158619464487
C00146,US,9,18.77434439230029
C00147,US,3,32.49163933107444
C00148,US,4,13.833757382481394
C00149,Asia,5,12.249514098148548
C00150,Asia,5,24.223065080621698
C00151,Asia,1,6.877957349785925
C00152,EU,3,27.21931561549275
C00153,EU,5,21.81414855748822
C00154,EU,6,43.516135975431325
C00155,US,3,44.04926015965699
C00156,EU,6,114.91436082590546
C00157,EU,2,18.88463192259442
C00158,EU,2,24.460458140628873
C00159,US,3,11.612014105079023
C00160,US,8,11.737174047019073
C00161,EU,6,13.100290469001926
C00162,US,7,16.582394124310852
