customer_id,location,spending_frequency,spending_amount
C00000,EU,7,48.345061603861176
C00001,US,8,21.511915641187127
C00002,US,4,16.607556166976085
C00003,EU,5,24.55174313624993
C00004,Asia,4,14.227479378532665
C00005,EU,6,30.455286396846784
C00006,US,7,16.282873739642227
C00007,US,5,31.17516300420082
C00008,US,5,12.760803943721582
C00009,EU,8,16.655119196257722
C00010,US,7,8.125815575303939
C00011,US,4,36.06459209323502
C00012,Asia,5,65.99030234158961
C00013,Asia,8,29.105342452408976
C00014,Asia,6,15.964599111160945
C00015,Asia,7,16.983679225491784
C00016,Asia,2,26.055974692412068
C00017,US,4,8.605278216898597
C00018,US,2,12.559721105271937
C00019,Asia,4,23.910654759286285
C00020,US,6,12.40548675945915
C00021,US,6,6.361445774514124
C00022,EU,5,20.808492862139612
C00023,EU,4,18.092106728533857
C00024,Asia,8,12.226222073087527
C00025,EU,5,17.58435974703835
C00026,Asia,3,12.719196153879372
C00027,EU,5,8.163850971915895
C00028,Asia,4,20.808101186917714
C00029,Asia,6,11.1457087049641
C00030,Asia,6,27.715429502316304
C00031,US,5,14.426822987629006
C00032,Asia,6,17.841521515427694
C00033,US,2,15.415189905888822
C00034,Asia,5,54.02536264116724
C00035,EU,7,36.48973615813344
C00036,EU,6,34.897401074620916
C00037,US,2,21.83499594865963
C00038,Asia,3,17.9059751355352
C00039,US,3,10.288025693880266
C00040,Asia,3,19.630392708668897
C00041,EU,10,19.604020913032187
C00042,EU,1,19.006655098218207
C00043,Asia,2,18.446573763345835
C00044,EU,5,18.89920490173037
C00045,EU,4,24.519963708211478
C00046,Asia,4,22.34977064593234
C00047,Asia,7,21.524245325390275
C00048,Asia,0,17.80739272607247
C00049,EU,3,7.660261782432778
C00050,Asia,7,15.057782768238116
C00051,EU,5,32.424085234648786
C00052,US,4,21.336083373423357
C00053,EU,3,16.584177603386014
C00054,US,7,10.54325636992059
C00055,EU,9,34.27261945852787
C00056,US,5,27.467073160585315
C00057,US,5,26.03376042182957
C00058,Asia,6,48.05570825646403
C00059,EU,4,23.488429732797712
C00060,US,2,27.268279973915497
C00061,US,7,27.569069596997643
C00062,US,6,38.989554117634086
C00063,Asia,6,21.645240107057997
C00064,Asia,10,20.019932004734645
C00065,US,2,26.994750684310766
C00066,US,2,21.60607855759021
C00067,Asia,5,22.69439982627792
C00068,Asia,7,20.454780133669086
C00069,Asia,7,16.764058053291034
C00070,US,5,8.600495641104253
C00071,US,2,21.651657224610897
C00072,US,4,26.082014452878415
C00073,Asia,5,31.40257833956091
C00074,Asia,3,16.66401899407964
C00075,US,1,25.570942288573395
C00076,EU,7,13.393658078005101
C00077,EU,3,17.368147747199597
C00078,EU,8,22.186239468496517
C00079,US,6,22.920171317278957
C00080,Asia,6,20.87128136671498
C00081,Asia,6,22.881137792247852
C00082,Asia,5,12.089266437655134
C00083,EU,5,29.69217729520157
C00084,EU,1,30.381325181258735
C00085,Asia,7,16.363049965474325
C00086,EU,6,26.49644587809271
C00087,Asia,6,17.91208612431876
C00088,Asia,5,15.649300100388569
C00089,Asia,8,9.021415610255039
C00090,US,6,20.164912069985192
C00091,US,5,15.331597429353641
C00092,US,2,30.87937244238024
C00093,Asia,6,33.00229763842718
C00094,US,4,22.672760936422574
C00095,Asia,6,15.660061241244307
C00096,EU,8,7.943775987817552
C00097,EU,1,17.668823765758038
C00098,EU,6,8.370655014138052
C00099,Asia,5,11.267567924953635
C00100,US,9,13.881010091944368
C00101,US,9,9.712691447758274
C00102,US,8,40.6784580154124
C00103,US,4,18.34612098433895
C00104,Asia,4,16.324457132906822
C00105,US,3,18.936348957554547
C00106,Asia,2,15.071439886563104
C00107,Asia,4,19.159796261361716
C00108,EU,6,17.565206103655413
C00109,US,3,16.089707672196035
C00110,EU,8,20.345960903858835
C00111,EU,11,70.64486911687551
C00112,Asia,3,16.500326672949594
C00113,Asia,1,40.893119734441065
C00114,US,5,18.321958401145892
C00115,US,6,19.3014077249842
C00116,US,5,7.608765318029487
C00117,Asia,5,16.537600978427314
C00118,Asia,8,16.561049849755925
C00119,US,3,18.32426887914843
C00120,US,4,17.649419148197268
C00121,US,6,17.121723320598022
C00122,US,3,34.82588217816343
C00123,Asia,5,22.883521323120384
